Process Name,App Name,DLL Count,SHA256
ws.exe,PDFescape Desktop v4.0.24.4617,88,f88a861823f995c48ddb7afe8f4be90a5d1ea5deff3df0b0c152fa0e5c2f1b65
platform_experience_helper.exe,Google Chrome v151.0.7877.0,2,1fae7d654695f7c4e0f4bb8a42a4c33137652effc360b998708c6ffcac1380e6
msedgewebview2.exe,Microsoft Edge WebView2 v149.0.4022.69,33,e25226852835df592c11601b55e3b1e41c1308c07a395e298238d8a7365c1735
msedge.exe,Microsoft Edge v149.0.4022.69,33,a0806567fa2e180cbb281e8f47d15b316527bdd58165f60769fb46bff91ec565
mscopilot.exe,Copilot v149.0.4022.80,33,bdd7dcf5063982c28ace299035675a6b96de68bda936bbfcc68bd9562f45dd45
updater-ws.exe,PDFescape Desktop v4.0.24.4617,88,2e58b5c26ea4b9ecfc5102c964126d656a682e090ea1ad8870ab187523093f6b
pdf2pdfconv.exe,PDFescape Desktop v4.0.24.4617,6,c00ad5e215fc79c900363bd454a69ee33ef737709e26c1b0c51ea1264709a3e1
msedge.exe,Microsoft Edge v149.0.4022.80,33,a0806567fa2e180cbb281e8f47d15b316527bdd58165f60769fb46bff91ec565
escape.exe,PDFescape Desktop v4.0.24.4617,88,c25864e0a32742b8a0903a1eed7e176bc0ed296af345081bd44890f6fc31f61e
creator-ws.exe,PDFescape Desktop v4.0.24.4617,6,db1abdb2326eb2fd6153ba84f27b20d3ee1ca53a64df1776b3c820aef340de61
creator-app.exe,PDFescape Desktop v4.0.24.4617,10,10549a2a7671e7f036b4fe04062a0475b1c9717c9079ff4e628ea1647c30bfc2
crash-handler-app.exe,PDFescape Desktop v4.0.24.4617,88,7518ecf85f246042e8fb933c841c7c40b71cbae0e798900d3d707455c63c4610
xargs.exe,xargs v0.0.0.0,4,
WizTree64.exe,WizTree v4.31.0.0,8,72208131742dbaf6871f648e297a054c8ad58cd318e4391772cdf4db34989a39
wc.exe,wc v0.0.0.0,4,
vsdbg.exe,Microsoft ® Visual Studio ® v18.5.10309.2631119583466080036585431653,4,3be2a5198dc46686ac514b8c70ecb28a8aff4dd56d4d0c60f66ebf5518ec85c9
vb7to8.exe,Microsoft® Windows® Operating System v18.0.11709.182,2,17d4935ddc1f05cc18861b8270d935d52fa77bda00ca3e694cdedd807a8e0d78
uniq.exe,uniq v0.0.0.0,4,
uname.exe,uname v0.0.0.0,4,
tr.exe,tr v0.0.0.0,4,
touch.exe,touch v0.0.0.0,4,
test.exe,test v0.0.0.0,4,
tail.exe,tail v0.0.0.0,4,
ssh-agent.exe,ssh-agent v0.0.0.0,4,138df27c7a8c35fbadde6fee35592336b04e058f4690b03f459ad79edd68ab63
ssh-add.exe,ssh-add v0.0.0.0,4,b6fec08648deaf7a77b50bc34ea8ac17c3cf240d06d0f1bffc60bf56d6f914b1
